id,query_type,strategy,question,query_count,hit@1,hit@5,reciprocal_rank,candidate_hit@20,top_source,relevant_rank,retrieval_seconds,found_by,missing_identifiers
qt001,DIRECT,original,How does PostgreSQL streaming replication work?,1,1,1,1.0,1,postgres-replication.md,1,0.24566780007444322,original,
qt001,DIRECT,rewrite_only,How does PostgreSQL streaming replication work?,1,1,1,1.0,1,postgres-replication.md,1,0.20793969999067485,semantic,
qt001,DIRECT,original_rewrite,How does PostgreSQL streaming replication work?,2,1,1,1.0,1,postgres-replication.md,1,0.3945841998793185,original|semantic,
qt001,DIRECT,multi_query,How does PostgreSQL streaming replication work?,4,1,1,1.0,1,postgres-replication.md,1,0.8231475001666695,original|semantic|technical|alternate,
qt002,DIRECT,original,How does PostgreSQL MVCC determine row visibility?,1,1,1,1.0,1,postgres-mvcc.md,1,0.19115230021998286,original,MVCC
qt002,DIRECT,rewrite_only,How does PostgreSQL MVCC determine row visibility?,1,1,1,1.0,1,postgres-mvcc.md,1,0.18894460005685687,semantic,MVCC
qt002,DIRECT,original_rewrite,How does PostgreSQL MVCC determine row visibility?,2,1,1,1.0,1,postgres-mvcc.md,1,0.37797360005788505,original|semantic,MVCC
qt002,DIRECT,multi_query,How does PostgreSQL MVCC determine row visibility?,4,1,1,1.0,1,postgres-mvcc.md,1,0.760238700080663,original|semantic|technical|alternate,MVCC
qt003,DIRECT,original,How does Kubernetes select a node for a Pod?,1,1,1,1.0,1,kubernetes-scheduling.md,1,0.18242250010371208,original,
qt003,DIRECT,rewrite_only,How does Kubernetes select a node for a Pod?,1,1,1,1.0,1,kubernetes-scheduling.md,1,0.21523339999839664,semantic,
qt003,DIRECT,original_rewrite,How does Kubernetes select a node for a Pod?,2,1,1,1.0,1,kubernetes-scheduling.md,1,0.3978662001900375,original|semantic,
qt003,DIRECT,multi_query,How does Kubernetes select a node for a Pod?,4,1,1,1.0,1,kubernetes-scheduling.md,1,0.7690168998669833,original|semantic|technical|alternate,
qt004,DIRECT,original,What is Apache Kafka used for?,1,1,1,1.0,1,kafka-overview.md,1,0.18643659981898963,original,
qt004,DIRECT,rewrite_only,What is Apache Kafka used for?,1,1,1,1.0,1,kafka-overview.md,1,0.19164679991081357,semantic,
qt004,DIRECT,original_rewrite,What is Apache Kafka used for?,2,1,1,1.0,1,kafka-overview.md,1,0.3591231000609696,original|semantic,
qt004,DIRECT,multi_query,What is Apache Kafka used for?,4,1,1,1.0,1,kafka-overview.md,1,0.8552217001561075,original|semantic|technical|alternate,
qt005,DIRECT,original,What trade-off does synchronous PostgreSQL replication make?,1,1,1,1.0,1,postgres-replication.md,1,0.22212910000234842,original,
qt005,DIRECT,rewrite_only,What trade-off does synchronous PostgreSQL replication make?,1,1,1,1.0,1,postgres-replication.md,1,0.21102130017243326,semantic,
qt005,DIRECT,original_rewrite,What trade-off does synchronous PostgreSQL replication make?,2,1,1,1.0,1,postgres-replication.md,1,0.4406092001590878,original|semantic,
qt005,DIRECT,multi_query,What trade-off does synchronous PostgreSQL replication make?,4,1,1,1.0,1,postgres-replication.md,1,0.8283184000756592,original|semantic|technical|alternate,
qt006,DIRECT,original,What does PostgreSQL VACUUM do?,1,1,1,1.0,1,postgres-mvcc.md,1,0.20426589995622635,original,VACUUM
qt006,DIRECT,rewrite_only,What does PostgreSQL VACUUM do?,1,1,1,1.0,1,postgres-mvcc.md,1,0.22057790006510913,semantic,VACUUM
qt006,DIRECT,original_rewrite,What does PostgreSQL VACUUM do?,2,1,1,1.0,1,postgres-mvcc.md,1,0.42230989993549883,original|semantic,VACUUM
